"game_id";"email";"score"
1;"Zarhmon._@hotmail.com";10
2;"BOB@Hotmail.com";5
3;"BOB@Hotmail.com";4
4;"Zarhmon._@hotmail.com";8
5;"fake@email.com";9
6;"Zarhmon._@hotmail.com";0
7;"cits@hotmail.com";12
8;"cits@hotmail.com";13
9;"Zarhmon._@hotmail.com";0
10;"BOB@Hotmail.com";12
11;"Zarhmon._@hotmail.com";0
12;"Zarhmon._@hotmail.com";0
25;"BOB@Hotmail.com";0
26;"BOB@Hotmail.com";0
27;"BOB@Hotmail.com";0
28;"BOB@Hotmail.com";0
29;"Zarhmon._@hotmail.com";0
30;"Zarhmon._@hotmail.com";0
31;"Zarhmon._@hotmail.com";1
32;"Zarhmon._@hotmail.com";1
33;"UAT@hotmail.com";0
34;"UAT@hotmail.com";0
35;"UAT@hotmail.com";1
36;"UAT@hotmail.com";1
37;"bandit@hotmail.com";3
38;"bandit@hotmail.com";3
39;"acc@hotmail.com";0
40;"acc@hotmail.com";0
41;"acc@hotmail.com";0
42;"acc@hotmail.com";0
43;"acc@hotmail.com";3
44;"acc@hotmail.com";3
45;"acc@hotmail.com";0
46;"acc@hotmail.com";2
47;"acc@hotmail.com";0
48;"acc@hotmail.com";0
49;"acc@hotmail.com";4
